path,participant_id,sequence_id,sign
train_landmark_files/27610/1000697904.parquet,27610,1000697904,there
train_landmark_files/22343/1001223069.parquet,22343,1001223069,not
train_landmark_files/18796/1001373962.parquet,18796,1001373962,have
train_landmark_files/32319/1001958254.parquet,32319,1001958254,go
train_landmark_files/55372/100230619.parquet,55372,100230619,say
train_landmark_files/55372/1002734054.parquet,55372,1002734054,that
train_landmark_files/26734/1004515043.parquet,26734,1004515043,go
train_landmark_files/49445/1004659234.parquet,49445,1004659234,who
train_landmark_files/34503/1006554061.parquet,34503,1006554061,say
train_landmark_files/36257/1007054441.parquet,36257,1007054441,say
train_landmark_files/32319/1007376023.parquet,32319,1007376023,all
train_landmark_files/62590/1007921043.parquet,62590,1007921043,not
train_landmark_files/22343/1009896983.parquet,22343,1009896983,not
train_landmark_files/25571/1010052861.parquet,25571,1010052861,will
train_landmark_files/53618/1010235832.parquet,53618,1010235832,on
train_landmark_files/22343/1010997099.parquet,22343,1010997099,go
train_landmark_files/28656/1011131843.parquet,28656,1011131843,not
train_landmark_files/53618/1012549254.parquet,53618,1012549254,will
train_landmark_files/22343/1012561303.parquet,22343,1012561303,all
train_landmark_files/27610/1012711038.parquet,27610,1012711038,on
train_landmark_files/49445/1014762780.parquet,49445,1014762780,up
train_landmark_files/36257/1016131365.parquet,36257,1016131365,if
train_landmark_files/26734/1018275085.parquet,26734,1018275085,go
train_landmark_files/27610/1019707437.parquet,27610,1019707437,not
train_landmark_files/30680/102024546.parquet,30680,102024546,there
train_landmark_files/49445/1020308865.parquet,49445,1020308865,up
train_landmark_files/25571/1022152273.parquet,25571,1022152273,up
train_landmark_files/18796/1024708488.parquet,18796,1024708488,for
train_landmark_files/37779/102503366.parquet,37779,102503366,will
train_landmark_files/49445/1025455481.parquet,49445,1025455481,have
train_landmark_files/32319/1025518360.parquet,32319,1025518360,that
train_landmark_files/55372/1026138898.parquet,55372,1026138898,there
train_landmark_files/27610/1026387183.parquet,27610,1026387183,say
train_landmark_files/32319/1028374583.parquet,32319,1028374583,if
train_landmark_files/34503/1028459881.parquet,34503,1028459881,say
train_landmark_files/2044/102890097.parquet,2044,102890097,there
train_landmark_files/2044/10293515.parquet,2044,10293515,all
train_landmark_files/53618/1030910923.parquet,53618,1030910923,who
train_landmark_files/37055/1032989664.parquet,37055,1032989664,go
train_landmark_files/29302/1033803947.parquet,29302,1033803947,all
train_landmark_files/49445/1035984006.parquet,49445,1035984006,if
train_landmark_files/22343/1036421289.parquet,22343,1036421289,not
train_landmark_files/61333/1037367912.parquet,61333,1037367912,all
train_landmark_files/30680/1038934108.parquet,30680,1038934108,all
train_landmark_files/4718/1039139776.parquet,4718,1039139776,not
train_landmark_files/27610/1040187339.parquet,27610,1040187339,all
train_landmark_files/25571/1041888943.parquet,25571,1041888943,if
train_landmark_files/49445/1042697982.parquet,49445,1042697982,not
train_landmark_files/4718/1043117617.parquet,4718,1043117617,have
train_landmark_files/55372/1043911310.parquet,55372,1043911310,there
train_landmark_files/18796/1045566902.parquet,18796,1045566902,for
train_landmark_files/36257/1046960010.parquet,36257,1046960010,have
train_landmark_files/62590/1047094338.parquet,62590,1047094338,if
train_landmark_files/22343/1047151249.parquet,22343,1047151249,not
train_landmark_files/25571/1048480380.parquet,25571,1048480380,who
train_landmark_files/26734/1048909726.parquet,26734,1048909726,say
train_landmark_files/29302/1049246757.parquet,29302,1049246757,there
train_landmark_files/55372/1049446909.parquet,55372,1049446909,all
train_landmark_files/32319/1050027994.parquet,32319,1050027994,go
train_landmark_files/16069/1050287724.parquet,16069,1050287724,all
train_landmark_files/55372/1053354029.parquet,55372,1053354029,for
train_landmark_files/16069/1053573508.parquet,16069,1053573508,go
train_landmark_files/55372/1054641459.parquet,55372,1054641459,who
train_landmark_files/27610/105533801.parquet,27610,105533801,go
train_landmark_files/27610/1056311219.parquet,27610,1056311219,have
train_landmark_files/55372/105680464.parquet,55372,105680464,all
train_landmark_files/29302/1057152054.parquet,29302,1057152054,say
train_landmark_files/36257/1060209681.parquet,36257,1060209681,there
train_landmark_files/55372/1060399607.parquet,55372,1060399607,if
train_landmark_files/37055/1061046578.parquet,37055,1061046578,say
train_landmark_files/28656/1061634118.parquet,28656,1061634118,for
train_landmark_files/55372/1061847518.parquet,55372,1061847518,if
train_landmark_files/36257/1062126567.parquet,36257,1062126567,for
train_landmark_files/37055/1062387410.parquet,37055,1062387410,if
train_landmark_files/16069/1063508354.parquet,16069,1063508354,who
train_landmark_files/37055/1064257745.parquet,37055,1064257745,will
train_landmark_files/32319/1065046773.parquet,32319,1065046773,on
train_landmark_files/30680/1065140687.parquet,30680,1065140687,on
train_landmark_files/37055/1067536407.parquet,37055,1067536407,will
train_landmark_files/37055/1067633431.parquet,37055,1067633431,not
train_landmark_files/28656/1067825309.parquet,28656,1067825309,have
train_landmark_files/26734/1067863645.parquet,26734,1067863645,who
train_landmark_files/32319/1068507570.parquet,32319,1068507570,up
train_landmark_files/53618/1070177439.parquet,53618,1070177439,up
train_landmark_files/18796/1070255977.parquet,18796,1070255977,who
train_landmark_files/37779/1072914423.parquet,37779,1072914423,all
train_landmark_files/37779/107314829.parquet,37779,107314829,have
train_landmark_files/2044/1073234623.parquet,2044,1073234623,will
train_landmark_files/4718/1075330081.parquet,4718,1075330081,there
train_landmark_files/4718/1076019709.parquet,4718,1076019709,if
train_landmark_files/36257/1077617072.parquet,36257,1077617072,for
train_landmark_files/62590/1077751155.parquet,62590,1077751155,who
train_landmark_files/61333/1078691312.parquet,61333,1078691312,that
